ID,Media,FamSize,Hilary,Trump,Age,Partner,Education,SpouseEdu,Employment,Birthplace,GBirth,Dependent,Housing,Income,Education2,PartyID,Marital
404725,7,0,2,6,66,2,15,-1,5,1,3,0,3,28,6,3,5
404728,2,1,1,4,29,-1,10,9,1,1,1,0,2,17,3,1,1
404729,5,1,5,5,33,-1,13,14,1,1,2,0,1,25,5,3,1
404731,7,2,1,5,60,-1,13,13,1,1,0,0,2,27,5,2,1
404735,5,0,2,5,61,2,13,-1,5,1,3,0,2,19,5,3,3
404738,7,1,4,1,59,-1,13,13,1,1,1,0,2,24,5,3,1
404739,7,2,4,4,62,-1,13,10,1,1,0,0,2,28,5,3,1
404740,7,4,4,4,82,2,9,-1,5,1,3,0,2,26,2,3,2
404741,7,0,3,6,25,2,14,-1,1,1,1,0,1,5,6,3,5
404743,7,2,1,6,59,-1,13,11,1,1,1,0,2,26,5,2,1
404744,5,0,2,4,22,2,13,-1,1,1,1,0,1,3,5,1,5
404746,7,0,1,6,50,2,10,-1,1,1,1,0,4,3,3,2,5
404748,7,1,2,1,45,1,9,9,6,1,1,0,1,5,2,1,5
404750,5,0,6,1,51,2,13,-1,1,1,0,0,4,14,5,1,3
404752,7,0,3,7,63,2,12,-1,5,1,3,0,2,11,4,1,3
404754,3,1,1,6,52,2,13,-1,1,1,1,0,1,7,5,2,3
404755,7,3,3,6,18,2,7,-1,8,1,4,1,4,3,1,1,5
404756,7,1,1,6,75,-1,10,11,5,1,1,0,3,14,3,2,1
404757,5,2,2,5,68,-1,12,13,5,1,1,0,2,27,4,2,1
404760,7,1,3,5,56,-1,13,14,1,1,1,0,2,25,5,1,1
404766,2,4,2,6,48,-1,13,14,1,4,0,3,2,23,5,2,1
404771,5,4,5,3,19,2,10,-1,8,1,0,2,4,23,3,2,5
404773,7,0,2,6,65,2,13,-1,1,1,0,0,3,17,5,3,3
404774,7,3,1,6,47,-1,14,13,1,1,1,1,2,24,6,4,1
404775,7,0,5,4,56,2,13,-1,1,1,1,0,1,14,5,1,4
404778,7,0,4,-9,70,-1,7,-9,5,7,-9,-9,-9,17,1,1,1
404779,7,0,5,6,61,1,13,13,1,2,2,0,2,24,5,3,3
404780,7,1,2,5,71,-1,13,15,7,1,3,0,3,24,5,3,1
404781,7,1,2,5,33,2,15,-1,1,1,2,0,2,23,6,2,5
404782,5,0,1,6,69,2,12,-1,5,1,3,0,2,4,4,2,2
404783,6,1,3,5,62,-1,16,16,1,4,1,1,3,26,6,3,1
404784,5,0,7,4,62,2,10,-1,1,1,1,0,2,17,3,2,2
404788,7,0,2,7,64,2,11,-1,5,1,1,0,1,13,4,3,4
